,backbone,mono_subs,di_subs
48,*C1([H])C(*)([H])C1([H])[H],[8*]P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[32*]c1c([H])c([H])c([H])c([H])c1C(c1c([32*])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
49,[H]c1c([H])c([H])c([Si](c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c(-c3c([H])c([H])c4c5c3-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c([H])c2[H])c([H])c1[H],[20*]C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[13*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[13*]
50,[H]C1([H])*C(C([H])([H])C([H])([H])[H])=C(C([H])([H])C([H])([H])[H])*1,[4*]O[H],[63*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[63*]
51,*C([H])(c1c([H])c([H])c([H])c([H])c1[H])C(*)([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[4*]C(=O)Oc1c([H])c([H])c([H])c([H])c1[H],[34*]c1c([H])c([H])c([H])c2c([H])c([H])c3c([H])c([H])c4c([H])c([H])c([H])c([34*])c4c3c12
52,[H]c1c([H])c(F)c([H])c(-c2c([H])c3c4c(c2[H])-n2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c52)B4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c5n-3c24)c1[H],[15*][Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[11*]OC1([H])C([H])([H])C2([H])C([H])([H])C([H])(C1(O[11*])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H]
53,*c1c(*)c([H])c(O[H])c([H])c1[H],[2*]O[H],[43*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[43*]
54,*c1c([H])c(-*)c([H])c([H])c1[H],[11*][Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[39*]c1c([H])c([H])c([H])c([H])c1C(c1c([39*])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
55,*c1c(OC([H])([H])[H])*c(C([H])([H])[H])c(Br)c1[H],[29*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[19*]C(=O)c1c([H])c([H])c([H])c([H])c1C([19*])=O
56,*-c1c(-*)c2c3c(c1-*)Oc1c([H])c([H])c([H])c([H])c1*3c1c([H])c([H])c([H])c([H])c1O2,[14*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],[4*]C([H])([H])C([H])([H])OC([H])([H])C([4*])([H])[H]
57,*c1c([H])c(-*)c(P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[13*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[35*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[35*]
