Structure,SMILES,Charge
bronsted_acid_cpa_49,O=P1(O)OC2=C(C3=CC=C(S(F)(F)(F)(F)F)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(S(F)(F)(F)(F)F)C=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_4,O=[P@]1(O)OC2=C(C3=C(C=CC=C4)C4=CC5=C3C=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)[C@@]([C@@]8=C(C=CC=C9)C9=CC%10=C8C=CC=C%10)=CC%11=CC=CC=C%117,0
bronsted_acid_cpa_50,O=P1(O)OC2=C(C3=C(C4=CC(C=CC=C5)=C5C=C4)C=CC=C3)C=C6C(CCCC6)=C2C7=C(O1)C(C8=CC=CC=C8C9=CC=C(C=CC=C%10)C%10=C9)=CC%11=C7CCCC%11,0
bronsted_acid_cpa_51,O=P1(O)OC2=C(C3=C(OCC)C=CC(C)=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC(C)=CC=C6OCC)=CC7=CC=CC=C75,0
bronsted_acid_cpa_52,O=[P@]1(O)OC2=C(C3=C(F)C=C(OC)C=C3F)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(F)C=C(OC)C=C6F)=CC7=CC=CC=C75,0
bronsted_acid_cpa_53,O=[P@]1(O)OC2=C(C3=C(OC)C=CC=C3OC)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(OC)C=CC=C6OC)=CC7=CC=CC=C75,0
bronsted_acid_cpa_54,O=[P@]1(O)OC2=C(C3=C(C4CCCCC4)C=C(C5CCCCC5)C=C3C6CCCCC6)C=C7C(C=CC=C7)=C2C8=C(O1)[C@@]([C@@]9=C(C%10CCCCC%10)C=C(C%11CCCCC%11)C=C9C%12CCCCC%12)=CC%13=CC=CC=C%138,0
bronsted_acid_cpa_55,O=P1(O)OC2=C(C3=CC(C4=CC=C(OC)C=C4)=CC(C5=CC=C(OC)C=C5)=C3)C=C6C(C=CC=C6)=C2C7=C(O1)C(C8=CC(C9=CC=C(OC)C=C9)=CC(C%10=CC=C(OC)C=C%10)=C8)=CC%11=CC=CC=C%117,0
bronsted_acid_cpa_56,O=P1(O)OC2=C(C3=C(OC(F)(F)F)C=CC=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=CC=C6OC(F)(F)F)=CC7=CC=CC=C75,0
bronsted_acid_cpa_57,O=P1(O)OC2=C(C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C=C4C(CCCC4)=C2C5=C(O1)C(C6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6)=CC7=C5CCCC7,0
bronsted_acid_cpa_58,O=P1(O)OC2=C(C3=CC=C(C)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(C)C=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_59,O=P1(O)OC2=C(C3=CC=C(C(C)(C)C)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(C(C)(C)C)C=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_5,O=P1(O)OC2=C([Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)C([Si](C8=CC=CC=C8)(C9=CC=CC=C9)C%10=CC=CC=C%10)=CC%11=CC=CC=C%117,0
bronsted_acid_cpa_60,O=P1(O)OC2=C(C3=CC=C(OC)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(OC)C=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_61,O=P1(O)OC2=C(C3=CC(COC)=CC=C3)C=C4C(CCCC4)=C2C5=C(O1)C(C6=CC=CC(COC)=C6)=CC7=C5CCCC7,0
bronsted_acid_cpa_62,O=P1(O)OC2=C([Si](C)(C3=CC=CC=C3)C4=CC=CC=C4)C=C5C(C=CC=C5)=C2C6=C(O1)C([Si](C)(C7=CC=CC=C7)C8=CC=CC=C8)=CC9=CC=CC=C96,0
bronsted_acid_cpa_63,O=P1(O)OC2=C(C3=C(C=CC4=C5C(C=C6)=CC=C4)C5=C6C=C3)C=C7C(C=CC=C7)=C2C8=C(O1)C(C9=CC=C(C=C%10)C%11=C9C=CC%12=C%11C%10=CC=C%12)=CC%13=CC=CC=C%138,0
bronsted_acid_cpa_64,O=P1(O)OC2=C(CC3=C(C=CC=C4)C4=CC5=C3C=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)C(CC8=C(C=CC=C9)C9=CC%10=C8C=CC=C%10)=CC%11=CC=CC=C%117,0
bronsted_acid_cpa_65,O=P1(O)OC2=C(C3=CC(C4=CC(C=CC=C5)=C5C=C4)=CC=C3)C=C6C(C=CC=C6)=C2C7=C(O1)C(C8=CC=CC(C9=CC=C(C=CC=C%10)C%10=C9)=C8)=CC%11=CC=CC=C%117,0
bronsted_acid_cpa_66,C1CC23CCC4=C2C(=C(C=C4)C5=CC=CC=C5C(F)(F)F)OP(=O)(OC6=C(C=CC1=C36)C7=CC=CC=C7C(F)(F)F)O,0
bronsted_acid_cpa_67,C1CCC2=C3C4=C5CCCCC5=CC(=C4OP(=O)(OC3=C(C=C2C1)C6=C7C8CCC(C7=CC9=C6C1CCC9CC1)CC8)O)C1=C2C3CCC(C2=CC2=C1C1CCC2CC1)CC3,0
bronsted_acid_cpa_68,O=P1(NC2=NC=CC=C2)OC3=[C@]([C@]4=C(C=CC=C5)C5=CC(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=C4O1)C7=CC=CC=C7C=C3C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8,0
bronsted_acid_cpa_69,S=P1(NC2=NC=CC=C2)OC3=[C@]([C@]4=C(C=CC=C5)C5=CC(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=C4O1)C7=CC=CC=C7C=C3C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8,0
bronsted_acid_cpa_6,O=P1(O)OC2=C(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_70,O=P1(N/C(N=C)=C/C(N(C)C)=C)OC2=[C@]([C@]3=C(C=CC=C4)C4=CC(C5=CC(C(F)(F)F)=CC(C(F)(F)F)=C5)=C3O1)C6=CC=CC=C6C=C2C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7,0
bronsted_acid_cpa_71,O=P1(NC2=NC=CC=N2)OC3=[C@]([C@]4=C(C=CC=C5)C5=CC(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=C4O1)C7=CC=CC=C7C=C3C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8,0
bronsted_acid_cpa_72,O=P1(NC2=CC=NC=C2)OC3=[C@]([C@]4=C(C=CC=C5)C5=CC(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=C4O1)C7=CC=CC=C7C=C3C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8,0
bronsted_acid_cpa_73,O=P1(NC2=NC=CC(C(F)(F)F)=C2)OC3=[C@]([C@]4=C(C=CC=C5)C5=CC(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=C4O1)C7=CC=CC=C7C=C3C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8,0
bronsted_acid_cpa_74,O=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=CC=C(OC)C=C3)C=C4C(C=CC=C4)=[C@@]2[C@@]5=C(O1)C(C6=CC=C(OC)C=C6)=CC7=CC=CC=C75,0
bronsted_acid_cpa_75,O=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=CC=CC=C3)C=C4C(CCCC4)=[C@@]2[C@@]5=C(O1)C(C6=CC=CC=C6)=CC7=C5CCCC7,0
bronsted_acid_cpa_76,O=S1(OC2=C(C3=C(C=CC=C4)C4=CC(C5=CC(C(F)(F)F)=CC(C(F)(F)F)=C5)=C3OS(N1)(=O)=O)C6=CC=CC=C6C=C2C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)=O,0
bronsted_acid_cpa_77,O=S(C1=[C@]([C@]2=C(C=CC=C3)C3=CC(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C2S5(=O)=O)C6=CC=CC=C6C=C1C7=CC(C(F)(F)F)=CC(C(F)(F)F)=C7)(N5)=O,0
bronsted_acid_cpa_78,S=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=CC=C(C(C)(C)C)C=C3)C=C4C(CCCC4)=[C@@]2[C@@]5=C(O1)C(C6=CC=C(C(C)(C)C)C=C6)=CC7=C5CCCC7,0
bronsted_acid_cpa_79,S=P1(NS(=O)(C(F)(F)F)=O)OC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_7,O=P1(O)OC2=[C@]([C@]3=C(C=CC(CCCCCCCC)=C4)C4=CC(C5=CN(C6=CC=C(C=C7)C8=C6C=CC9=CC=CC7=C89)N=N5)=C3O1)C%10=CC=C(CCCCCCCC)C=C%10C=C2C%11=CN(C%12=C(C=CC%13=C%14C(C=C%15)=CC=C%13)C%14=C%15C=C%12)N=N%11,0
bronsted_acid_cpa_80,O=P1(NS(=O)(C(F)(F)F)=O)OC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_81,O=S(C1=[C@]([C@]2=C(C=CC=C3)C3=CC=C2S4(=O)=O)C5=CC=CC=C5C=C1)(N4)=O,0
bronsted_acid_cpa_82,O=S(C(C=C1)=[C@]([C@]2=C(CCCC3)C3=CC=C2S4(=O)=O)C5=C1CCCC5)(N4)=O,0
